# Band structure: file generated from Abinit band.out file. #
# Eigenvalues (eV) for nkpt= 221 k points. #
# Format: total path length, kx, ky, kz, one or more energy eigenvalues. #
0.8015730741680821 -0.2014 0.2014 0.4473 -60.67260 -60.56477 -27.40638 -27.20668 -25.54301 -25.45385 -24.14851 -24.03106
15.07287 15.20987 15.82855 15.92638 16.35414 16.43978 17.21632 17.38881
18.09431 18.33639 18.90315 19.08379 20.50119 20.86826 21.94159 22.55035
23.29381 23.84772 25.72813 26.10015 27.48478 28.14422 28.56171 31.48734
39.74831 40.36881 43.89560 44.21642 45.44829 45.77802 47.27898 48.26336
52.48071 52.96405 54.45495 55.05980 56.00361 56.72115
0.8166998715819433 -0.2101 0.2101 0.4385 -60.68060 -60.55698 -27.42129 -27.18608 -25.54897 -25.44369 -24.16168 -24.02410
15.02305 15.18328 15.77370 15.90163 16.35144 16.43126 17.24535 17.43101
18.08082 18.34867 18.89412 19.10690 20.46510 20.89266 21.87616 22.57845
23.26233 23.90135 25.62358 26.09523 27.43058 28.14683 28.60673 31.86081
39.81401 40.57494 43.78715 44.25510 45.30083 45.73266 47.28205 48.23408
52.46265 52.93180 54.28001 55.08975 56.03363 56.90062
0.8319419186885495 -0.2189 0.2189 0.4297 -60.68824 -60.54955 -27.43639 -27.16508 -25.55508 -25.43368 -24.17486 -24.01708
14.97173 15.15298 15.71966 15.87965 16.35639 16.42837 17.27577 17.47194
18.07035 18.35723 18.88252 19.12848 20.42558 20.91439 21.81580 22.60665
23.23284 23.95282 25.51755 26.09180 27.35085 28.14639 28.69170 32.23728
39.85210 40.76462 43.68766 44.30538 45.10063 45.77088 47.30621 48.21155
52.42221 52.85276 54.07819 55.11568 56.07819 57.07661
0.8471839657951556 -0.2277 0.2277 0.4209 -60.69549 -60.54249 -27.45165 -27.14372 -25.56133 -25.42394 -24.18800 -24.01000
14.92018 15.11977 15.66740 15.86039 16.36649 16.43229 17.30670 17.51070
18.06311 18.36070 18.86899 19.14892 20.38330 20.93459 21.76068 22.63527
23.20569 24.00109 25.41224 26.08797 27.25460 28.15863 28.79034 32.61517
39.85911 40.93286 43.60141 44.33783 44.93405 45.84791 47.34071 48.19992
52.35035 52.72722 53.86888 55.13211 56.13987 57.24300
0.8623684973980731 -0.2365 0.2365 0.4122 -60.70235 -60.53580 -27.46708 -27.12204 -25.56769 -25.41458 -24.20101 -24.00281
14.86962 15.08470 15.61766 15.84362 16.37876 16.44444 17.33740 17.54637
18.05926 18.35779 18.85449 19.16882 20.33905 20.95424 21.71046 22.66421
23.18164 24.04523 25.30932 26.08124 27.15400 28.18267 28.89107 32.99274
39.83292 41.07555 43.52622 44.29227 44.89118 45.94461 47.37932 48.20351
52.23731 52.55653 53.67170 55.13734 56.21576 57.38723
0.8776105445046792 -0.2453 0.2453 0.4034 -60.70880 -60.52951 -27.48268 -27.10008 -25.57414 -25.40573 -24.21384 -23.99550
14.82114 15.04891 15.57104 15.82903 16.39115 16.46515 17.36724 17.57802
18.05883 18.34774 18.84007 19.18885 20.29368 20.97416 21.66451 22.69267
23.16188 24.08434 25.21023 26.06905 27.05927 28.21379 28.98866 33.36801
39.77307 41.19048 43.45044 44.17669 44.98710 46.05070 47.41877 48.22676
52.07617 52.34271 53.50362 55.13182 56.29910 57.51524
0.8928525916112854 -0.2541 0.2541 0.3946 -60.71483 -60.52361 -27.49842 -27.07789 -25.58065 -25.39752 -24.22640 -23.98805
14.77572 15.01356 15.52796 15.81628 16.40348 16.49278 17.39567 17.60482
