#K-Path      Energy-Level
# NKPTS & NBANDS: 660  48
# Band-Index    1
   3.88025    -13.335550
   3.88945    -13.327272
   3.89865    -13.318994
   3.90785    -13.310725
   3.91705    -13.302474
   3.92626    -13.294253
   3.93546    -13.286071
   3.93546    -13.286071
   3.94179    -13.289456
   3.94813    -13.292752
   3.95447    -13.295958
   3.96080    -13.299069
   3.96714    -13.302086
   3.97347    -13.305006
   3.97981    -13.307828
   3.98614    -13.310551
   3.99248    -13.313172
   3.99882    -13.315690
   4.00515    -13.318105
   4.01149    -13.320414
   4.01782    -13.322618
   4.02416    -13.324713
   4.03050    -13.326700
   4.03683    -13.328575
   4.04317    -13.330340
   4.04950    -13.331993
   4.05584    -13.333533
   4.06217    -13.334959
   4.06851    -13.336269
   4.07485    -13.337462
   4.08118    -13.338538
   4.08752    -13.339495
   4.09385    -13.340336
   4.10019    -13.341056
   4.10653    -13.341656
   4.11286    -13.342138
   4.11920    -13.342497
   4.12553    -13.342735
   4.13187    -13.342851
   4.13820    -13.342843
   4.14454    -13.342712
   4.15088    -13.342458
   4.15721    -13.342078
   4.16355    -13.341574
   4.16988    -13.340947
   4.17622    -13.340195
   4.18256    -13.339319
   4.18889    -13.338315
   4.19523    -13.337188
   4.20156    -13.335935
   4.20790    -13.334557
   4.21423    -13.333053
   4.22057    -13.331424
   4.22691    -13.329669
   4.23324    -13.327789
   4.23958    -13.325784
   4.24591    -13.323656
   4.25225    -13.321404
   4.25859    -13.319026
   4.26492    -13.316524
   4.27126    -13.313898
   4.27759    -13.311152
   4.28393    -13.308283
   4.29026    -13.305290
   4.29660    -13.302176
   4.30294    -13.298942
   4.30927    -13.295586
   4.30927    -13.295586
   4.31842    -13.296635
   4.32756    -13.297765
   4.33670    -13.298975
   4.34585    -13.300264
   4.35499    -13.301637
   4.36414    -13.303090
   4.37328    -13.304627
   4.38243    -13.306248
   4.39157    -13.307948
   4.40071    -13.309730
   4.40986    -13.311591
   4.41900    -13.313528
   4.42815    -13.315537
   4.43729    -13.317620
   4.44644    -13.319766
   4.45558    -13.321974
   4.46472    -13.324242
   4.47387    -13.326563
   4.48301    -13.328935
   4.49216    -13.331351
   4.50130    -13.333806
   4.51044    -13.336296
   4.51959    -13.338812
   4.52873    -13.341350
   4.53788    -13.343901
   4.54702    -13.346465
   4.55617    -13.349033
   4.56531    -13.351598
   4.57445    -13.354152
   4.58360    -13.356693
   4.59274    -13.359211
   4.60189    -13.361701
   4.61103    -13.364157
   4.62018    -13.366573
   4.62932    -13.368946
   4.63846    -13.371267
   4.64761    -13.373532
   4.65675    -13.375738
   4.66590    -13.377876
   4.67504    -13.379942
   4.68419    -13.381933
   4.69333    -13.383840
   4.70247    -13.385663
   4.71162    -13.387397
   4.72076    -13.389037
   4.72991    -13.390581
   4.73905    -13.392021
   4.74820    -13.393362
   4.75734    -13.394596
   4.76648    -13.395720
   4.77563    -13.396730
   4.78477    -13.397626
   4.79392    -13.398408
   4.80306    -13.399071
   4.81220    -13.399614
   4.82135    -13.400039
   4.83049    -13.400344
   4.83964    -13.400527
   4.84878    -13.400589
   4.84878    -13.286557
   4.85380    -13.286558
   4.85882    -13.286557
   4.86383    -13.286555
   4.86885    -13.286551
   4.87387    -13.286549
   4.87889    -13.286545
   4.88390    -13.286541
   4.88892    -13.286534
   4.89394    -13.286530
   4.89896    -13.286523
   4.90397    -13.286519
   4.90899    -13.286511
   4.91401    -13.286503
   4.91902    -13.286495
